Power,SolRad,OutsideTemp,SimulatedTemp
31500,3.255,19,22.4778214562966
-31500,3.38,19,22.6902986681696
-31500,3.2,19,18.2300323676698
-31500,3.25,19,17.9779468565662
-31500,3.275,19,17.7210736375325
31500,3.17,19,17.4681859843959
31500,3.32,19,21.8949178320952
31500,3.32,19,22.1186825871547
31500,3.44,19,22.3545075737817
31500,3.22,19,22.5917114567706
-31500,3.33,19,22.8245902808931
31500,3.18,19.5,18.3694489249816
31500,3.29,19.5,22.8172676489622
-31500,3.33,20,23.0571633403101
31500,3.465,20,18.633312816972
31500,3.32,20,23.0960012021394
31500,3.29,20,23.3295650608009
31500,3.245,20,23.5572134071721
-31500,3.275,20,23.7764557795542
31500,3.295,20,19.3083412023644
-31500,3.215,20,23.7142707255271
31500,3.225,20,19.2248409420188
31500,3.25,20,23.6243626129801
31500,3.49,20,23.8114926882494
-31500,3.31,20,24.0043202543103
31500,3.4,20,19.5165486633214
-31500,3.205,20,23.9107499678546
-31500,3.225,20,19.4123641986799
-31500,3.295,20,19.127287367219
31500,3.225,20,18.8414980971561
-31500,3.355,20,23.2358478767104
-31500,3.315,20,18.7544342104385
-31500,3.335,20,18.4955420072519
-31500,3.215,20,18.2406874526187
31500,3.18,20,17.9979515339877
31500,3.345,20,22.4307750158299
-31500,3.13,20,22.655113459403
31500,3.39,20,18.2161688873904
31500,3.335,19.5,22.6655924610653
-31500,3.36,19.5,22.875583998988
-31500,3.515,19,18.3999724856128
-31500,3.44,19,18.1171957070366
31500,3.495,19,17.8230632056961
31500,3.535,19,22.2173845036437
31500,3.635,19,22.4154098710186
31500,3.72,19,22.6307763498011
-31500,3.87,19,22.850799237127
-31500,4.15,19,18.390519288274
31500,4.585,19,18.1318868227164
31500,5.12,19,22.5417407607453
31500,5.97,19,22.7446221408499
-31500,7.50304963818879,19,22.9565665098762
-31500,10.8439243578858,19,18.4896905899061
31500,14.9197749320914,19,18.2257166113733
31500,18.2198254191137,19,22.6310484203218
-31500,24.7062647276737,19,22.8313946173656
-31500,31.3123436250467,19,18.3633634477975
-31500,40.4691978192431,19,18.1036702104104
31500,40.0018935051973,19,17.8406478103249
-31500,40.6805844474281,18.5,22.2571060382098
31500,46.0706937931416,18.5,17.7707331627995
31500,34.4175672851806,18,22.1703720936224
-31500,42.053130067997,18,22.3467658230881
31500,59.8702389514401,18,17.8454545108728
-31500,73.1017839992992,18,22.2448254519374
-31500,82.2628490984818,18,17.7616210788081
31500,92.269496740353,18,17.4971056596602
-31500,107.814671872919,18,21.9115389609256
-31500,124.89781591089,18,17.448725794713
-31500,201.729135422801,18,17.2065965324479
31500,285.614853509209,18,16.974899131104
-31500,138.99224809668,18,21.4449091277816
31500,181.15001611412,18,17.0326760280885
-31500,180.45889310822,18,21.5004320001521
-31500,167.486347313423,18,17.0805258800281
31500,193.585026804641,18,16.8717881445505
-31500,178.253757582308,18,21.3358681656661
31500,209.523913595232,18,16.9173027043403
-31500,165.948653108981,18,21.3901127236878
31500,171.278324607836,18,16.9734050883635
-31500,462.113945919893,18,21.4401721277205
-31500,130.452298196392,18,17.0427879506619
31500,288.490439961116,18,16.8554699236941
31500,290.858240876084,19,21.3239219179687
31500,355.611151815617,19,21.6431165119676
-31500,501.729569624251,20,21.999365305704
31500,517.276862805707,20,17.7154420867329
31500,508.287512210333,20,22.3341644572633
31500,520.543601291375,20,22.70762381612
-31500,529.526817971512,20,23.0616401768462
31500,543.920994732811,20,18.7160944953279
31500,557.419473842179,20,23.2424002360254
-31500,579.074741253251,20,23.5445158783598
-31500,594.559614785216,20,19.1639853499535
31500,605.85163353108,20,18.9851912642606
31500,624.303261723507,20.5,23.4736658694131
31500,649.783649961106,20.5,23.7778249727512
31500,259.234094640165,21,24.1024234116112
